headword	CEFR
shameful	B1
shape	B1
sharp	B1
shave	B1
sheer	B1
sheet	B1
shelter	B1
sheriff	B1
shift	B1
shiny	B1
ship	B1
shiver	B1
shocked	B1
shocking	B1
shop	B1
shopper	B1
shortage	B1
shortly	B1
shout	B1
shrimp	B1
shut	B1
sickness	B1
sidewalk	B1
sigh	B1
sign	B1
signal	B1
signature	B1
significance	B1
signpost	B1
silent	B1
silk	B1
similarity	B1
similarly	B1
simplify	B1
simultaneously	B1
since	B1
single	B1
sink	B1
skate	B1
skeleton	B1
ski	B1
skin	B1
skyscraper	B1
slavery	B1
sleep	B1
sleeve	B1
slight	B1
slightly	B1
slip	B1
slip	B1
slogan	B1
slope	B1
slot	B1
slow	B1
slow	B1
smell	B1
smile	B1
smoker	B1
sneeze	B1
snowboard	B1
snowstorm	B1
soap opera	B1
social networking	B1
socially	B1
soil	B1
solid	B1
somehow	B1
someplace	B1
sometime	B1
sometimes	B1
soothe	B1
sophomore	B1
sore	B1
sorrow	B1
sort	B1
soul	B1
sour	B1
southeast	B1
southeast	B1
southern	B1
southwest	B1
southwest	B1
souvenir	B1
sparkle	B1
specialist	B1
specialize/specialise	B1
specially	B1
spectacular	B1
spectator	B1
speed	B1
spelling	B1
sphere	B1
spice	B1
spicy	B1
spider	B1
spinach	B1
spiral	B1
spirit	B1
spiritual	B1
split	B1
spoil	B1
sponge	B1
sponsor	B1
sports	B1
sportsmanship	B1
stable	B1
stall	B1
standard	B1
star	B1
stare	B1
status	B1
stay	B1
steadily	B1
steady	B1
steam	B1
steel	B1
steep	B1
stem	B1
stick	B1
